"groupe de patient","recrutement","pays","nombre de sujets","sérums testés séparément","inhibitions chiffrées","date","pas de RC testée etc","remarques"
"9044-1","Patients avec rhinite/asthme aux acariens (Blomia et Dermatophagoides)","Singapour","3",-1,-1,29-mars-09,,"apparemment les allergènes utilisés n'étaient pas des recombinants"
"9045-1","Patients avec rhinite / asthme aux acariens","Espagne","17",-1,-1,29-mars-09,,
"9045-2","Patients avec rhinite / asthme aux acariens","Espagne","5",0,-1,29-mars-09,,
"9076-1","Allergie au lupin (TPODA) et à l'arachide","Pays-Bas","1",-1,0,01-déc.-09,,
"9076-2","Allergie au lupin (TPODA) sans allergie à l'arachide ni aux autres Fabacées","Pays-Bas","1",-1,0,01-déc.-09,,
"9099-1","Patients avec APLV persistante et allergie aux phanères de mammifères","Espagne","?",-1,0,03-mai-08,,
"9100-1","Patient allergique aux crevettes","Japon","1",-1,0,29-déc.-08,,
"9101-1","Enfants avec TC positif pour le pollen d'armoise","Allemagne","3",-1,0,29-août-09,,
"9105-1","Syndrome oral à l'ingestion de graines de lupin","Portugal","2",-1,0,31-janv.-08,,
"9117-1",,,,-1,-1,13-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"9120-1","Patients allergiques au sarrasin","Corée","5",0,0,10-juin-08,,
"9179-1","Patient pollinique au bouleau, sans allergie alimentaire","Finlande","1",-1,-1,06-janv.-08,,
"9188-1",,,,-1,-1,09-janv.-09,-1,"Pas de RC testée ou méthodologie non conforme"
"9191-1",,,,-1,-1,17-août-09,-1,"Pas de RC testée : juste une positivité réciproque en blot avec des sujets Olivier+ ou Plantain+"
"9198-1","Allergie au manioc dans un contexte de syndrome latex-aliments","Espagne","1",-1,0,20-oct.-09,,
"921-1",,,,-1,-1,31-août-07,-1,"Manquent détails (résumé possésé seulement)"
"9218-1","Patient allergique aux crustacés","Japon","1",-1,0,30-déc.-08,,
"9223-1","Patients avec asthme du boulanger, sans allergie pour la pêche mais IgE+ pour Pru p 3","Espagne","7",-1,-1,29-juin-08,,
"9234-1",,,,-1,-1,22-janv.-08,-1,"Manquent détails dans l'article"
"9257-1","Sérum positif pour la pariétaire et pour des polcalcines (Bet v 4, Phl p 7)","Italie","1",-1,0,02-sept.-09,,
"9267-1","Patients avec réactivité cutanée et/ou sérique pour des phanères de mammifères","Finlande","3-5",0,-1,06-mai-08,,
"9278-1","Patients allergiques à la guêpe","Autriche","17",-1,0,10-févr.-09,,
"9283-1",,,,-1,-1,03-mai-08,-1,"Pas de RC testée ou méthodologie non conforme"
"9289-1","Fleuriste avec allergie respiratoire aux fleurs de Solidago et urticaire de contact avec le latex","USA","1",-1,0,29-août-09,,
"9302-1",,,,-1,-1,09-janv.-09,-1,"Manquent détails (résumé possésé seulement)"
"9315-1",,,,-1,-1,20-juin-09,-1,"manquent détails dans le résumé"
"9319-1",,,,-1,-1,05-oct.-09,-1,"manquent détails: pool? Nb patients? Diagnostic?"
"9337-1","Sérums de patients positifs en CAP pour le pollen de chêne","Suède / USA","6",-1,-1,01-déc.-09,,
"9338-1",,,,-1,-1,13-août-09,-1,"Pas de tests de RC à proprement parler (Ab, positivité de rCur l 3 avec des sérums gram+, etc..)"
"9349-1","Patients poly-polliniques","Espagne","5",-1,-1,13-nov.-09,,
"9358-1","Polliniques au bouleau et allergiques au litchi","Chine","?",0,-1,15-juil.-08,,
"9380-1",,,,-1,-1,25-janv.-09,-1,"Pas de RC testée ou méthodologie non conforme"
"9388-1",,,,-1,-1,22-mars-08,-1,"Manquent détails (résumé possésé seulement)"
"9418-1","Patients avec anaphylaxie au blé induite par l'effort et réactivité cutanée pour Saccharomyces","France","3",-1,-1,18-juin-08,,
"9440-1",,,,-1,-1,13-août-09,-1,"Inhibition Mél 5 gram -> pollen seigle"
"9441-1",,,,-1,-1,13-août-09,-1,"NON ! Résultats non présentés, pool de n= ?? patients, etc.."
"9466-1","Patient pollinique, allergique aux acariens et à l'abeille","Croatie","1",-1,-1,16-mars-09,,
"9472-1","Syndrome porc-chat s'étendant au poulet","France","1",-1,-1,04-mai-08,,
"9495-1","Patients avec symptômes respiratoires perannuels et CAP+ D. pteronysinus","Autriche","16",-1,0,29-mars-09,,
"95-1",,,,-1,-1,30-nov.-09,-1,"Inhibition (qui ne marche pas) d'un mélange de 12 graminées par le plantain -> inexploitable"
"9534-1","Patient ayant présenté des réactions à l'ingestion de pignons","Portugal","1",-1,-1,29-août-09,,
"9541-1","Sujets polliniques avec TC+ séneçon et armoise","Espagne","4",0,-1,28-août-09,,
"956-1","Sujets professionnellement exposés à Bombus terrestris","Pays-Bas","5",-1,-1,17-juil.-07,,
"9595-1","Un adulte avec syndrome oeuf-oiseaux","Espagne","1",-1,0,24-oct.-09,,
"9596-1","Rhinite professionnelle à la poudre d'ispaghule avec allergie à la moutarde","Espagne (Canaries)","1",-1,0,01-déc.-09,,
"9674-1","Réaction systémique au frelon (V. crabro)","Italie","17",-1,-1,10-févr.-09,,
"9691-1","Patients allergiques à la crevette et au crabe","Japon","5",0,0,23-févr.-09,,
"9695-1","Patients avec allergie au poisson (Espagne, Pays-Bas, Grêce)","xx","5",0,-1,29-déc.-08,,
"9717-1","Patiente présentant une allergie respiratoire et une allergie de contact avec le riz cru","Espagne","1",-1,-1,14-juin-08,,
"9721-1","Patients professionnellement exposés aux farines","Suisse","2",-1,-1,07-oct.-09,,
"974-1","Asthmatiques TC+ pour les 2 blattes","Taiwan","?",0,0,17-juil.-07,,
"9741-1",,,,-1,-1,13-nov.-09,-1,"RC ineploitables (pas probant)"
"975-1",,,,-1,-1,30-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"9778-1","Patients poly-polliniques","Italie","5",0,-1,24-août-09,,
"9787-1","Enfants asthmatiques avec forte réactivité pour rPen a 1 (tropomyosine)","Espagne","2",-1,-1,28-mars-09,,
"979-1","Sujets allergiques au latex et TC banane positifs","Finlande","4",-1,-1,26-juil.-07,,
"9795-1",,,,-1,-1,29-mars-09,-1,"Utilisation de mAbs"
"9834-1","Allergiques à la morue","Belgique","3",0,-1,29-déc.-08,,
"9874-1","Allergiques aux acariens avec positivité in vitro pour Lep d 5 ou Blo t 5","Autriche","6",-1,0,28-mars-09,,
"989-1","Sujets allergiques au pollen de tournesol","Espagne","?",0,-1,03-oct.-07,,
"9925-1","1 enfant avec anaphylaxie à la volaille et à l'oeuf induite par l'exercice","Italie","1",-1,0,29-déc.-08,,
"9928-1","Patients allergiques aux blattes","Taiwan","?",0,-1,29-déc.-08,,
"9937-1","Patients allergiques au saumon","USA","2",-1,-1,29-déc.-08,,
"995-1","Positivité pour le pollen de colza","Autriche","?",0,0,04-oct.-07,,
"997-1","Asthme professionnel du à la gomme arabique","Allemagne","1",-1,-1,06-janv.-08,,
